 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 26  51 -13  63 -10  78   0  88  28  94  38 100  47 103  48 104  48  95  29  85  23  58  -5  53 -20
 27  43 -16  59 -11  79   6  90  30  90  35  98  44 105  48 107  45  93  29  81  19  63  -2  53 -11
 28  48 -16  54 -18  79   8  90  28  90  35  98  49 103  51 103  39  95  28  76  18  69  -2  52 -10
 29  48 -25 *** ***  85   0  90  24  91  40 100  49 104  50 101  39  88  29  72  19  59  -2  57  -9
 30  53 -17 *** ***  88   2  90  26  91  42  97  50 109  44 102  44  92  29  77  17  67  -8  55 -15
 31  50 -20 *** ***  83  11 *** ***  90  40 *** *** 109  48  97  42 *** ***  79   9 *** ***  55 -19
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1998 FOR STATION NUMBER 7312
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.06  0.37  1.02  0.43  1.84  0.80  2.14  2.15  0.98  0.75  1.58  1.09
  2  0.35  0.62  0.73  1.86  1.55  0.72  1.05  2.35  1.24  1.16  1.45  0.33
  3  0.74  0.25  0.65  1.10  0.60  2.02  1.27  0.49  0.47  1.00  0.45  0.76
  4  0.15  0.61  1.03  0.77  2.02  0.89  3.08  1.40  2.55  1.57  1.09  0.27
  5  0.43  0.70  0.65  2.63  1.64  4.45  2.41  3.91  1.92  0.70  1.40  0.26
  6  0.82  0.20  1.00  1.51  1.12  0.60  1.15  0.54  1.74  1.36  0.64  0.61
  7  0.16  0.90  0.68  2.23  1.19  2.49  2.15  1.28  1.31  1.55  0.35  0.90
  8  0.30  0.30  0.98  1.15  1.40  1.97  1.40  2.00  1.69  2.10  0.52  0.32
  9  0.28  0.52  0.60  1.00  1.20  2.44  2.44  2.99  1.08  1.06  1.71  0.50
 10  0.65  0.63  0.54  0.85  1.15  0.81  2.38  1.22  0.71  1.56  1.72  0.49
 11  0.90  0.66  1.30  0.69  1.69  1.01  1.63  0.94  1.37  1.82  0.63  0.98
 12  0.52  0.23  0.81  1.01  0.97  2.10  2.51  0.95  0.85  1.56  0.58  0.60
 13  0.32  0.37  1.00  0.99  2.04  2.30  1.08  2.20  4.63  1.41  1.20  0.57
 14  0.34  0.12  2.14  1.38  0.85  3.15  1.64  1.56  1.15  0.50  0.36  1.30
 15  0.37  0.51  1.05  1.32  1.92  2.20  0.82  0.90  1.60  2.30  0.72  0.40
 16  0.81  0.36  0.22  0.60  1.06  2.61  1.40  2.13  2.90  0.65  0.98  1.26
 17  0.30  0.19  0.72  0.57  1.38  2.82  4.63  0.97  1.21  1.12  0.67  0.31
 18  0.87  1.24  1.39  1.00  1.75  1.21  0.90  1.37  1.40  1.00  0.82  0.16
 19  0.98  0.77  0.49  0.83  3.10  3.61  1.70  1.59  2.13  0.89  1.16  0.76
 20  0.51  1.34  0.41  1.70  0.73  2.42  1.10  1.32  1.26  0.69  1.76  0.55
 21  0.50  0.72  0.24  1.98  0.80  2.27  0.97  1.67  1.00  0.78  0.76  0.13
 22  0.56  0.63  1.78  1.24  1.82  1.68  1.75  3.95  0.94  1.20  0.59  0.72
 23  0.40  0.48  2.25  1.70  1.81  2.52  1.19  0.75  1.13  1.45  0.42  0.26
 24  0.21  0.33  0.78  0.68  1.23  3.48  0.60  1.80  0.58  0.45  0.26  0.58
 25  0.10  0.85  0.92  0.66  1.67  2.00  1.28  1.49  1.05  0.30  0.46  0.83
 26  0.38  0.32  1.58  1.43  1.91  1.39  2.25  2.00  3.67  0.47  0.27  0.47
 27  0.48  0.57  1.51  1.73  1.60  2.26  1.02  2.22  2.84  0.85  1.01  1.18
 28  0.43  0.70  0.96  1.88  1.96  2.01  0.85  1.70  1.06  0.47  0.78  1.60
 29  0.43******  0.85  0.94  2.06  0.82  0.75  2.50  1.95  2.23  0.94  0.58
 30  0.08******  1.83  1.62  1.28  1.83  1.35  5.85  1.33  0.93  2.59  0.56
 31  0.17******  0.65******  2.10******  0.58  2.28******  0.73******  0.24
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1998 FOR STATION NUMBER 7312
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 30   3  48   1  39   3  45   6  40   5  35   7  31  10  41  12  44   7  47   3  42   4  32   3
  2 29   2  48   3  42   2  44   6  46   6  38   4  33   7  31  10  42   8  46   7  39   5  35   3
  3 41   5  44   4  38   3  64   3  39   5  45   9  34  10  33   5  41  11  40   3  36   4  33   6
  4 30   4  39   4  40   3  51   6  44   6  40   9  36   6  34  11  39  11  42   5  42   5  35   2
  5 35   2  41   4  40   5  46   3  45   8  43   6  35  13  32   6  39   8  38   7  36   3  34   3
  6 35   2  40   3  43   6  47   7  38   6  39   6  33  13  31   7  37   9  45   6  35   1  31   4
  7 34   4  36   3  42   4  43   6  43   3  42   9  33   9  35   4  41   9  40   6  40   5  34   3
  8 37   3  41   4  43   3  48   4  47   7  38   8  38  13  37   7  47  10  42   4  36   4  38   2
  9 31   5  42   3  39   2  48   4  43   9  40   5  35  11  32  11  38   6  42   5  35   5  34   5
 10 36   4  34   3  35   3  45   5  47  10  40   9  40  10  41  12  45  11  43   5  38   4  38   2
