 
 THIS IS FOR STATION NUMBER  133 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 24 37   4  45   4  49   3  42   7  37   7  33  15  39   7  36   9  43  10  42   5  38   3  40   3
 25 36   5  41   5  41   5  42  11  38   3  36  14  36  13  34   4  42   5  43   4  42   4  36   4
 26 34   3  37   3  41   4  39   5  39   5  35   7  34   9  36   6  44   4  45   6  36   2  40   4
 27 38   2  42   2  39   3  40   9  35   6  39  11  34   5  35  11  41   9  46   5  40   3  34   3
 28 33   4  37   5  42   6  46   7  36   6  45   9  35   5  38   8  42   9  42   7  36   2  32   3
 29 35   5  **  **  44   5  49   5  37   3  35  10  35   8  36   6  41   5  39   7  39   5  33   3
 30 36   5  **  **  45   4  42   4  36   7  37   3  32   5  42   5  46  10  40   7  35   3  39   2
 31 41   5  **  **  48   4  **  **  35  12  **  **  38  10  39  12  **  **  40   5  **  **  36   2
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER  133
