 
 THIS IS FOR STATION NUMBER 6940 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.46  67(67) 21(21)  9( 9)  3( 3)  0( 0)    0      100
 30  0.17******  1.06  1.54  1.14  2.45  2.82  1.31  0.97  2.42  1.78  0.68
 31  0.17******  1.35******  1.85******  1.51  3.50******  0.53******  0.34
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1999 FOR STATION NUMBER 6940
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 35   3  38   3  48   6  47   5  45   8  41   8  42  14  42  12  42  12  50   8  43   2  36   3
  2 36   3  43   4  44   2  49   7  44   7  39   7  33   9  34  12  42   9  46   5  42   4  34   3
  3 41   5  42   3  37   4  43   2  42  10  50  11  40  11  36   9  37  10  47   2  40   2  37   6
  4 39   4  44   4  44   5  45   6  44   8  40  13  39   9  42  10  43   9  44   5  42   4  38   4
  5 42   5  42   3  44   3  51   4  40  10  42  11  36  12  37   9  39  11  47   6  41   5  34   5
  6 34   3  38   3  49   3  50   6  43   7  41   7  34  10  40   9  46   7  44   7  46   6  43   2
  7 37   4  43   3  46   2  52   8  43   6  40   7  35  14  35   6  46  11  50   3  40   6  41   2
  8 42   4  35   2  50   2  48   2  46   8  37   9  35  12  38  12  42   7  48   6  48   3  42   5
  9 34   5  42   3  43   6  46   5  43  10  39   3  36  11  36  11  46   8  49   7  39   5  43   3
 10 34   5  40   6  46   3  47   4  43   6  44  10  37   9  36  14  50   9  47   9  41   2  38   2
 11 36   2  43   4  41   6  47   3  45   9  43  10  33  12  34  10  44  10  48   6  42   2  45   4
 12 47   7  40   3  45   3  46   5  45   4  37   9  33   8  35   9  46   9  47   6  46   3  39   5
 13 37   4  41   6  43   4  48   3  42  11  43   7  42   9  35   9  41   8  47   7  41   3  37   6
 14 34   4  40   4  51   6  42   4  43   9  36  10  40   8  38  12  41   7  47  10  49   7  46   2
 15 36   5  46   2  41   3  44   4  44  13  41   4  38  11  39  11  46   8  42   6  45   5  40   4
 16 42   4  40   6  43   6  45   9  51   7  44   8  37  14  39  15  45   7  44   5  40   3  40   5
 17 44   6  41   3  42   4  50   5  41  11  46  10  39  13  35  11  39   7  41   4  41   2  41   3
 18 55   4  48   4  44   2  43  11  49   8  40  15  32  13  36  12  44   7  49   3  45   4  45   3
 19 45   6  44   2  47   3  41   5  42  11  39   9  37  12  34  15  46   9  48   6  45   4  38   6
 20 44   5  43   4  43   7  46   7  44  11  39   9  41   6  39  11  41   7  52   2  37   3  36   3
 21 39   4  52   6  41   7  48   7  39   7  39  11  39   7  39   7  37   8  43   4  43   5  42   3
 22 46   3  41   4  46   4  43   8  39   5  40   5  33   9  37  12  49   8  47   5  42   6  35   4
 23 47   4  38   3  42  11  42  10  44  10  40   6  39  12  40   9  45   9  41   7  32   3  35   4
 24 51   6  50   4  45   5  44   9  40   4  36  11  36  13  38   9  43   6  44   6  39   4  44   3
 25 42   3  46   3  45   5  44   8  41   5  42   8  41  15  38   9  46   8  45   5  40   7  33   4
 26 37   5  40   3  49   4  52   9  37   7  37   5  40  13  40   9  46   7  47   4  37   4  35   7
 27 38   4  36   3  51   6  40   5  41   4  38  15  38   9  36  12  46   9  46   9  36   7  37   6
