 
 THIS IS FOR STATION NUMBER 6327 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 23  0.54  0.92  1.07  0.77  1.70  2.02  0.67  1.63  2.21  1.30  1.88  0.97
 24  0.20  0.60  0.95  1.71  2.25  0.88  0.85  1.18  1.18  1.21  0.36  1.33
 25  0.85  0.85  1.32  2.52  2.03  1.91  2.00  1.65  1.50  0.42  0.46  0.62
 26  0.57  0.45  1.05  0.95  2.50  1.40  1.86  3.64  1.76  0.95  0.79  0.27
 27  1.10  0.35  1.19  1.61  1.50  1.86  1.23  1.56  2.86  0.92  1.03  0.67
 28  0.26  0.66  0.85  1.52  1.23  3.20  1.37  3.41  0.66  0.92  1.05  0.85
 29  0.73******  0.96  0.87  2.88  3.10  0.94  1.74  2.44  0.42  3.52  0.47
 30  0.52******  1.40  2.59  0.78  3.13  2.10  1.42  1.54  0.95  0.86  1.00
 31  0.15******  1.38******  0.61******  1.07  1.49******  1.90******  1.24
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1999 FOR STATION NUMBER 6327
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 35   3  29   5  46   5  38   1  43   7  35   2  34   8  31  11  39  11  45   5  43   2  34   3
  2 30   3  48   2  42   4  47   6  42   7  36   4  30  12  36   9  35   9  42   6  39   5  36   3
  3 35   4  36   5  32   2  46   5  42   9  39   6  34  11  38   8  40  11  41   4  36   5  35   4
  4 37   2  43   3  41   1  41   8  38   5  36  11  34  11  42   8  46   8  39   3  37   3  33   4
  5 39   4  39   1  36   4  48   4  37   7  32   8  32  10  35   3  36   8  42   8  36   5  33   4
  6 43   3  43   3  49   2  43  11  41   5  35   8  37  10  34   7  44   7  46   5  35   3  37   2
  7 33   3  36   3  44   6  48   7  39   6  35   8  33  10  34   4  38  14  40   8  44   6  41   2
  8 32   5  38   4  42   3  40   8  37   4  37  10  37   7  35   6  39   8  43   5  39   6  34   2
  9 34   5  36   3  41   5  47   7  38   4  39   6  34   9  36  11  41   2  43   5  38   4  38   3
 10 42   5  38   5  41   3  43   6  39   4  36  10  38  11  39  11  40  11  48   8  41   3  32   5
 11 41   5  42   5  44   3  44   2  35   8  34   8  32   9  41   9  41   6  42   9  39   3  38   2
 12 39   2  42   3  34   3  40   3  40   4  33   9  32   6  37   8  46   8  38   5  55   4  32   2
 13 39   5  43   3  35   2  47   3  42   5  33   7  41  13  37   5  36  10  39   7  43   3  42   3
 14 35   2  43   2  39   5  42   3  39   7  37  10  37   7  45   7  32   6  46   8  43   2  36   3
 15 48   4  42   3  37   3  45   5  39   9  30   7  33   7  38   9  37   7  42   5  43   5  48   4
 16 39   5  40   3  39   6  41   7  42   9  31  10  33  10  35  11  44   7  41   8  35   4  42   3
 17 44   2  39   4  39   3  52   4  35   7  37  12  39  11  37   8  37   8  39   5  37   4  31   2
 18 59   3  39   4  38   3  40   8  51   3  34   7  32  11  36   9  38   6  53   5  40   3  37   3
 19 44   4  41   3  36   4  41   4  40   8  36  10  31   9  38  11  39   7  41  13  41   4  33   2
 20 40   3  42   3  34   4  41   6  39   9  32  11  31   8  36   7  39   8  42   5  34   3  37   3
 21 37   3  38   3  37   4  41   5  37   9  33   7  32   5  34   9  38   6  39   8  34   5  37   2
 22 43   2  40   3  50   5  38   5  36   5  36  11  34  10  37   6  49   6  41   6  37   3  38   5
 23 40   3  44   4  45   3  37   9  42   9  35  10  35   7  34  12  39   5  42   5  36   5  37   3
 24 43   4  43   5  42   6  42   7  38   7  36  13  32   9  42   6  43   6  51   3  37   3  36   4
 25 37   4  45   3  49   6  37   4  35   7  36   8  34  11  39   5  39   5  45   4  37   3  37   4
 26 34   4  41   1  45   5  38   9  36   5  38  11  43   6  41   5  44   9  41   5  40   3  35   4
 27 35   5  38   3  41   4  34   7  38   7  31   9  37   5  41  10  43  10  44   5  40   2  32   3
 28 44   5  37   6  41   5  39   5  34   7  40  13  34  11  38   6  48   4  36   7  40   4  38   3
 29 35   2  **  **  40   5  43   5  36   8  36  11  32  12  35   9  41   9  43   4  39   2  40   3
 30 40   4  **  **  43   4  36   8  34  10  31   8  36   7  39   9  43   6  41   6  34   3  32   1
 31 40   9  **  **  40   4  **  **  33  10  **  **  37  10  39   8  **  **  38   5  **  **  36   3
 
