 
 THIS IS FOR STATION NUMBER 9067 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  2  0.72  0.50  0.65  1.50  0.78  1.55  2.47  1.70  0.63  1.15  2.30  0.87
  3  0.60  0.30  2.80  1.50  2.18  0.89  1.04  2.30  1.12  1.10  1.23  0.65
  4  1.27  0.47  1.48  1.30  0.93  1.12  1.45  1.48  3.12  0.84  1.85  0.21
  5  0.40  0.48  0.45  0.65  1.71  1.28  2.83  2.30  1.85  2.00  0.30  1.37
  6  0.55  0.64  0.97  1.45  0.83  1.08  2.85  3.05  1.78  0.51  0.25  0.87
  7  0.14  0.43  0.85  1.45  1.50  2.46  2.47  0.93  1.02  0.77  0.35  0.96
  8  0.13  0.18  0.68  0.51  1.21  2.07  1.73  2.66  3.45  1.43  0.33  1.25
  9  0.18  0.38  1.70  1.01  1.62  1.88  2.60  2.83  2.00  1.74  0.57  0.23
 10  0.30  1.15  0.45  1.20  5.38  1.23  2.17  1.80  2.34  1.48  1.85  0.43
 11  0.20  0.25  1.74  1.12  1.70  0.84  1.91  1.08  0.68  1.15  0.56  0.88
 12  1.68  0.49  1.66  0.78  1.71  1.88  1.65  2.52  0.95  0.49  0.97  0.46
 13  1.21  0.32  1.00  0.94  2.00  1.85  2.55  1.50  4.25  1.82  1.11  0.30
 14  0.75  0.28  0.40  1.10  1.92  2.94  3.90  4.30  3.15  1.20  0.75  0.52
 15  0.85  0.75  0.87  0.57  0.62  6.15  1.77  1.20  2.45  0.87  1.45  1.90
 16  0.72  0.40  0.27  1.43  1.70  1.62  1.33  3.20  0.70  0.70  2.08  0.62
 17  0.36  0.57  0.57  0.92  2.90  5.30  1.15  1.94  2.26  1.60  3.00  0.43
 18  0.78  0.59  0.77  1.50  1.16  0.95  2.73  1.22  1.13  2.45  1.25  0.29
 19  1.08  0.79  0.85  0.50  1.32  2.06  1.90  1.90  1.73  2.24  0.68  0.55
 20  0.45  0.95  0.87  2.78  0.48  2.53  0.83  4.09  2.14  1.28  1.23  1.47
 21  0.25  1.68  0.60  2.05  0.83  2.25  0.51  1.20  2.23  0.83  1.20  0.51
 22  0.76  0.60  0.81  1.40  1.40  1.48  0.97  0.60  0.60  0.78  0.83  0.27
 23  0.50  0.88  1.14  1.39  1.95  2.47  1.13  3.43  1.48  1.20  1.50  0.53
 24  0.53  0.34  0.70  3.70  1.85  2.80  1.69  0.80  1.23  1.25  0.62  1.16
 25  0.60  0.48  0.85  1.76  1.93  1.07  2.60  3.15  1.40  1.05  0.37  0.56
 26  0.44  0.35  0.77  0.98  2.50  1.18  2.07  3.35  3.01  0.82  0.95  0.40
 27  1.03  0.52  0.74  1.23  2.03  1.54  2.47  2.00  1.60  0.61  1.56  0.54
 28  0.20  0.35  0.60  2.46  1.81  1.50  1.69  2.65  0.99  0.59  0.94  0.75
 29  0.25******  0.88  2.30  3.10  0.90  1.10  1.33  1.38  0.33  0.61  0.45
 30  0.44******  1.40  2.51  1.42  2.26  1.83  2.90  1.50  1.17  1.02  0.97
 31  0.01******  2.05******  1.25******  0.93  1.89******  0.88******  0.25
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1999 FOR STATION NUMBER 9067
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 33   3  33   4  44   6  43   5  40   7  38   9  32   8  34   9  38  12  48   5  47   3  32   3
  2 31   3  44   4  42   6  47   6  41   7  37   6  32  11  33  11  39  10  43   9  36   2  35   2
  3 35   3  39   3  36   3  45   6  41   7  39   7  33  12  35   8  41   7  40   4  39   4  35   5
  4 42   4  45   3  42   4  53   7  39   9  38   7  32   9  34  10  45  10  39   3  40   5  34   1
  5 40   2  37   4  35   6  48   4  40  10  34  13  32   8  33   8  38   4  44   8  37   4  34   2
  6 44   2  33   5  45   5  43   9  43  12  34  11  34   8  35   5  44   9  42   8  37   4  38   2
  7 36   4  37   4  59   5  49  11  40   4  39   9  36   6  34   5  38  12  42   4  41   5  36   3
  8 39   4  35   4  44   6  40   4  41   4  34   6  32  11  36   7  39   8  42   8  40   4  31   2
  9 36   4  34   3  42   5  44   5  39   7  39   4  32  13  36  12  41   5  40   7  41   5  39   3
 10 38   4  39   3  43   5  49   5  44  11  36  10  38  12  36  14  43  12  49   1  42   4  38   3
 11 39   7  40   6  41   4  42   5  38   5  37  11  31  10  33   9  41   9  43  10  42   5  36   3
 12 39   4  39   6  33   3  40   2  43   8  34   9  35  12  37   6  47   9  41   9  44   5  30   3
 13 40   3  43   4  33   5  47   6  42  11  37   7  38   6  35   9  42   9  38   7  46   4  42   6
 14 34   5  39   3  37   5  42   5  41   8  37  12  36   7  36  11  39   8  43   4  40   4  33   3
 15 46   6  35   3  40   7  45   5  41  10  34   7  35   8  34  13  36   6  42   8  36   7  37   4
 16 41   4  37   3  41   7  44   6  39   8  33  11  37  14  35  11  42  10  40   8  32   5  38   4
 17 44   5  37   3  38   9  47   9  39   8  35  12  34   9  33  12  39   5  38   6  37   3  35   3
 18 37   5  42   3  36   4  39   3  50   5  36   6  30  11  36  12  45   7  53   9  45   5  36   3
 19 47   2  39   2  39   5  44   8  40   5  35   9  31  11  32  10  44   4  40   5  38   7  34   2
 20 39   3  45   4  33   3  42   7  42  12  33  11  30   8  33   9  35   7  40   4  39   3  26   3
 21 40   3  42   3  36   5  43   5  41   9  33   8  33   6  34   9  40   5  40   5  36   3  40   3
 22 36   4  37   3  44   5  41   8  44   7  38  13  31   9  36   9  52  13  39   3  41   5  39   4
 23 39   4  36   4  43   5  43  11  37   8  40   5  34   7  35  11  42   6  41   5  40   3  32   4
 24 40   3  42   4  49   2  53  12  41   7  32  10  35   7  38  10  45   6  49   4  33   5  40   3
 25 36   2  39   8  49   7  40   8  37   8  35  14  36   8  39  12  39   9  41   5  39   3  35   2
 26 38   5  35   4  48   5  41   7  36   5  35   9  35   6  38   8  49  10  43   6  38   3  40   4
 27 34   3  42   3  45   3  41  10  35   6  31  12  37   8  37   6  39   6  43   4  38   3  33   1
 28 43   4  36   6  44   3  38   6  35   4  40   8  37  14  39   7  48   2  38   6  48   4  38   3
 29 34   3  **  **  39   7  42   9  38   5  35  13  32  12  37   7  41  11  44   6  33   2  44   4
 30 39   5  **  **  45   6  42   7  36  10  30  11  32   9  37  11  43   8  38   7  40   4  42   4
 31 64   6  **  **  44   4  **  **  37  13  **  **  33   4  36   8  **  **  41   5  **  **  35   2
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 9067
